item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacesLabel,replacedBy,replacedByLabel,nature,natureLabel,source,sourceName,statedName,psid
Q887682,Ants Piip,Q1760777,Minister of Foreign Affairs,1919-10-09,1919-11-18,,,2,Q1385836,Jaan Poska,Q300781,Ado Birk,,,,,,Q887682-DCDCF6F5-18B0-4852-B06A-846002CDB026
Q887682,Ants Piip,Q737115,Prime Minister of Estonia,1920-10-26,1920-12-20,,,5,Q710956,Jaan Tõnisson,Q493018,State Elder,,,,,,Q887682-DAB1E384-A065-404A-A2B5-4077C356A49C
Q382608,Arnold Susi,Q6866110,Minister of Education and Research,,,,,,,,,,,,,,,Q382608-C3E8544B-F81A-47B7-BCA3-AEB92A2ED711
Q616356,Arto Aas,Q20528404,Minister of Public Administration,2015-04-09,2016-11-23,,,,,,Q16404020,Mihhail Korb,,,,,,Q616356-ca92836b-499f-d388-f2bc-15eec388368e
Q12359706,Artur Tupits,Q16402880,Minister of Agricultural Work,,,,,,,,,,,,,,,Q12359706-C17F0557-420A-468F-9D00-DBA2EEEA1744
Q78076303,Arvo Aller,Q24060239,Minister of Rural Affairs,2019-12-10,2021-01-26,Q63343147,Jüri Ratas' second cabinet,,Q62930911,Mart Järvik,Q3741429,Urmas Kruuse,,,,,,Q78076303-e08950df-4247-00e6-ea6f-405c53cc8f48
Q717470,Arvo Niitenberg,Q106996824,Minister of Energy,1992-01-30,1995-04-17,,,,,,,,,,,,,Q717470-6d299c2f-4da8-23d5-0a7e-5d47101b5411
Q12359937,August Jürima,Q16402880,Minister of Agricultural Work,,,,,,,,,,,,,,,Q12359937-1113B1B4-B3DE-4FC7-8A12-51035E32CDFA
Q12359937,August Jürima,Q6866431,Minister of the Interior,1939-01-01,1940-01-01,,,,,,,,,,,,,Q12359937-DAC4C407-B0DA-45B2-A631-5FDB838894C5
Q390919,August Kerem,Q16402880,Minister of Agricultural Work,,,,,,,,,,,,,,,Q390919-1766E384-759D-4FAF-A1D5-610A338E99BB
Q390919,August Kerem,Q3741249,Minister of Defence,1931-02-12,1932-11-19,,,,,,,,,,,,,Q390919-0B003BB0-12E8-4601-97C4-DA0AEB4AA1F5
Q762413,August Koern,Q1760777,Minister of Foreign Affairs,1964-01-01,1982-01-01,,,,,,,,,,,,,Q762413-8CEAF9AC-B39D-4CAE-B3E1-ACBB3AA50B0B
Q16407072,August Peet,Q6866431,Minister of the Interior,1918-11-27,1919-05-08,,,2,Q299114,Konstantin Päts,Q12358705,Aleksander Oinas,,,,,,Q16407072-DD23FA45-4933-4F10-883B-891856708150
Q725322,August Rei,Q1760777,Minister of Foreign Affairs,1932-01-01,1940-01-01,,,,,,,,,,,,,Q725322-388DAB7A-5668-46EC-9848-D447948FE14B
Q725322,August Rei,Q12372129,Prime Minister in duties of the President,1945-01-09,1963-03-29,,,,Q887277,Jüri Uluots,Q888932,Aleksander Warma,,,,,,Q725322-3692911B-263F-4345-A196-19B9101B5699
Q12360291,Bernhard Roostfeld,Q16402880,Minister of Agricultural Work,,,,,,,,,,,,,,,Q12360291-EEB2D6F2-513C-46C9-AA5F-E95854D4C2FE
Q3539685,Christian Kaarna,Q16402881,Minister of Social Affairs,,,,,,,,,,,,,,,Q3539685-65C828BA-AEB1-4EFA-881B-979F2DF16C1D
Q355241,Edgar Savisaar,Q21121665,Minister of Economic Affairs and Communications,2005-04-13,2007-04-05,,,,Q57640,Andrus Ansip,Q312894,Juhan Parts,,,,,,Q355241-08ce325c-4cdf-44b2-6925-5ecca095d81a
